case,packed,nseq,total_tokens,heads,mode,repeat,order_index,mean_ms,median_ms,p90_ms,min_ms,max_ms,stdev_ms
packed_ragged6,True,6,8192,12,auto,4,4,0.3397603198885918,0.34033599495887756,0.3405759930610657,0.3364799916744232,0.35126399993896484,0.0013184879820601094
packed_8x1024,True,8,8192,12,v32,0,0,0.16888319842517377,0.1685120016336441,0.17049600183963776,0.16633599996566772,0.18198400735855103,0.0015992347177316965
packed_8x1024,True,8,8192,12,auto,0,1,0.15574048087000847,0.15609599649906158,0.1562879979610443,0.15305599570274353,0.16556799411773682,0.0011014657119075687
packed_8x1024,True,8,8192,12,v64,0,2,0.15364959947764872,0.15404799580574036,0.1542080044746399,0.1510079950094223,0.16182400286197662,0.0010338012536319715
packed_8x1024,True,8,8192,12,compat_v128,0,3,0.15577504076063634,0.15609599649906158,0.1562879979610443,0.15401600301265717,0.16278399527072906,0.0009609851877709171
packed_8x1024,True,8,8192,12,v16,0,4,0.3133153612911701,0.31379199028015137,0.3139840066432953,0.3108159899711609,0.3250240087509155,0.0012421150449065516
packed_8x1024,True,8,8192,12,v32,1,0,0.16891455836594105,0.1685120016336441,0.17052799463272095,0.16630400717258453,0.17744000256061554,0.0014262763981252769
packed_8x1024,True,8,8192,12,auto,1,1,0.155736481025815,0.15612800419330597,0.1562879979610443,0.15334400534629822,0.16326400637626648,0.0010245929513345844
packed_8x1024,True,8,8192,12,v16,1,2,0.31332352221012116,0.31379199028015137,0.3139840066432953,0.3108159899711609,0.3214400112628937,0.0011309805794141037
packed_8x1024,True,8,8192,12,compat_v128,1,3,0.15576608061790467,0.15609599649906158,0.15625600516796112,0.15398399531841278,0.1618880033493042,0.0009042803890949737
packed_8x1024,True,8,8192,12,v64,1,4,0.15355967998504638,0.15401600301265717,0.1542080044746399,0.15110400319099426,0.1616639941930771,0.0010549797588819138
packed_8x1024,True,8,8192,12,v16,2,0,0.31319152042269705,0.31376001238822937,0.3139519989490509,0.31167998909950256,0.31968000531196594,0.001086954945304663
packed_8x1024,True,8,8192,12,auto,2,1,0.15576720044016837,0.15609599649906158,0.1562879979610443,0.1539520025253296,0.16787199676036835,0.0011829235378659534
packed_8x1024,True,8,8192,12,v32,2,2,0.16893263831734656,0.1685439944267273,0.17049600183963776,0.16630400717258453,0.17507199943065643,0.0012957197560573169
packed_8x1024,True,8,8192,12,v64,2,3,0.1537364800274372,0.15404799580574036,0.15423999726772308,0.151296004652977,0.16646400094032288,0.0012289832094068477
packed_8x1024,True,8,8192,12,compat_v128,2,4,0.15575696028769015,0.15612800419330597,0.15625600516796112,0.15321600437164307,0.16227200627326965,0.0009709268392978255
packed_8x1024,True,8,8192,12,v64,3,0,0.15364943996071814,0.15404799580574036,0.15423999726772308,0.1510400027036667,0.16281600296497345,0.0010744978247862274
packed_8x1024,True,8,8192,12,v32,3,1,0.16902303792536258,0.1685439944267273,0.17052799463272095,0.1645440012216568,0.18028800189495087,0.0015602012722661025
packed_8x1024,True,8,8192,12,v16,3,2,0.3133504019677639,0.31379199028015137,0.3139840066432953,0.31164801120758057,0.3261120021343231,0.0013092221116869699
packed_8x1024,True,8,8192,12,compat_v128,3,3,0.15574544064700604,0.15612800419330597,0.15625600516796112,0.15408000349998474,0.16499200463294983,0.001059720267998234
packed_8x1024,True,8,8192,12,auto,3,4,0.15576928026974202,0.15609599649906158,0.1562879979610443,0.1539520025253296,0.16476799547672272,0.0010370899882679828
packed_8x1024,True,8,8192,12,auto,4,0,0.1559657607227564,0.15615999698638916,0.1562879979610443,0.15404799580574036,0.1687999963760376,0.0011450801782980477
packed_8x1024,True,8,8192,12,v64,4,1,0.15375439934432505,0.15406399965286255,0.15423999726772308,0.15193599462509155,0.16838400065898895,0.0013192358250014788
packed_8x1024,True,8,8192,12,v32,4,2,0.16926927790045737,0.16859199851751328,0.17059199512004852,0.16630400717258453,0.17440000176429749,0.00121289126340383
packed_8x1024,True,8,8192,12,compat_v128,4,3,0.1558982404321432,0.15612800419330597,0.15625600516796112,0.15331199765205383,0.16662399470806122,0.0010534200639732369
packed_8x1024,True,8,8192,12,v16,4,4,0.31345824226737024,0.31382399797439575,0.3139840066432953,0.31171199679374695,0.3214400112628937,0.0010444772822612888
packed_32x256,True,32,8192,12,auto,0,0,0.1252188788354397,0.12537600100040436,0.12563200294971466,0.12246400117874146,0.13622400164604187,0.001227712091167361
packed_32x256,True,32,8192,12,v32,0,1,0.17227807857096195,0.1724800020456314,0.17449599504470825,0.17033599317073822,0.18303999304771423,0.0015155131454616894
packed_32x256,True,32,8192,12,v16,0,2,0.2585007992386818,0.25859200954437256,0.2606079876422882,0.2503040134906769,0.2727360129356384,0.00202112203613728
packed_32x256,True,32,8192,12,v64,0,3,0.1331697605550289,0.13353599607944489,0.1337919980287552,0.1295360028743744,0.1440960019826889,0.0013989648641761637
packed_32x256,True,32,8192,12,compat_v128,0,4,0.12513599902391434,0.12537600100040436,0.12556800246238708,0.12223999947309494,0.13247999548912048,0.0011172550412576693
packed_32x256,True,32,8192,12,auto,1,0,0.12505919903516768,0.12537600100040436,0.12559999525547028,0.12326399981975555,0.1382399946451187,0.0013666836251188808
packed_32x256,True,32,8192,12,v64,1,1,0.13336912117898464,0.13359999656677246,0.13382400572299957,0.12963199615478516,0.14707200229167938,0.001436498701274401
packed_32x256,True,32,8192,12,v32,1,2,0.17224799901247023,0.1724800020456314,0.17427200078964233,0.17043200135231018,0.1833920031785965,0.0014754353523793035
packed_32x256,True,32,8192,12,v16,1,3,0.25855919942259786,0.25857600569725037,0.2606399953365326,0.25040000677108765,0.2831040024757385,0.0024589114093102977
packed_32x256,True,32,8192,12,compat_v128,1,4,0.12486895933747291,0.12537600100040436,0.1255359947681427,0.12236800044775009,0.1326719969511032,0.0011732613893813562
packed_32x256,True,32,8192,12,compat_v128,2,0,0.12506287924945356,0.12537600100040436,0.12559999525547028,0.12326399981975555,0.133760005235672,0.0011333145224486807
packed_32x256,True,32,8192,12,v16,2,1,0.2582892781496048,0.2585119903087616,0.2606079876422882,0.25148800015449524,0.268095999956131,0.0017377395104706788
packed_32x256,True,32,8192,12,v32,2,2,0.17241471916437148,0.1725119948387146,0.17449599504470825,0.1703999936580658,0.1873600035905838,0.0015978177593085198
packed_32x256,True,32,8192,12,v64,2,3,0.13354575984179973,0.13359999656677246,0.1345600038766861,0.12972800433635712,0.14697599411010742,0.0014131844646074804
packed_32x256,True,32,8192,12,auto,2,4,0.12512303866446017,0.12540799379348755,0.12556800246238708,0.12243200093507767,0.13488000631332397,0.001187549404255672
packed_32x256,True,32,8192,12,v32,3,0,0.17218319877982138,0.1724800020456314,0.17446400225162506,0.16937600076198578,0.1839040070772171,0.0015417484174020705
packed_32x256,True,32,8192,12,compat_v128,3,1,0.12508831903338433,0.12537600100040436,0.12566399574279785,0.1223360002040863,0.13391999900341034,0.001268603530722867
packed_32x256,True,32,8192,12,auto,3,2,0.12517151866108178,0.12537600100040436,0.12566399574279785,0.12329600006341934,0.13433599472045898,0.0011962059912033064
packed_32x256,True,32,8192,12,v64,3,3,0.13329632043838502,0.13359999656677246,0.13385599851608276,0.12956799566745758,0.14476799964904785,0.001392433250603604
packed_32x256,True,32,8192,12,v16,3,4,0.25834719851613047,0.2585279941558838,0.2606399953365326,0.25040000677108765,0.266975998878479,0.002034902761043056
packed_32x256,True,32,8192,12,v32,4,0,0.1721281585097313,0.17241600155830383,0.17449599504470825,0.17033599317073822,0.18467199802398682,0.0015654710700740873
packed_32x256,True,32,8192,12,compat_v128,4,1,0.12511055897921325,0.12537600100040436,0.12559999525547028,0.12227199971675873,0.13353599607944489,0.0011525517628713157
packed_32x256,True,32,8192,12,v16,4,2,0.2588612772524357,0.25859200954437256,0.26070401072502136,0.2545599937438965,0.2685759961605072,0.0017917576366848229
packed_32x256,True,32,8192,12,v64,4,3,0.13334752030670644,0.13359999656677246,0.1337919980287552,0.12963199615478516,0.1432960033416748,0.0012453804620321906
packed_32x256,True,32,8192,12,auto,4,4,0.1250763189792633,0.12540799379348755,0.12563200294971466,0.12249600142240524,0.1345919966697693,0.0011965044229855597
